Episode,Title,URL,Status
1,Iyer-Babita ने Court में दिया Tapu के खिलाफ बयान | Ep 01 | Taarak Mehta Ka Ooltah Chashmah,https://www.youtube.com/watch?v=rJE5jzi4q2Y,Found
2,Society वालों ने उठाया Tapu के गुंडागर्दी पर सवाल! |Taarak Mehta Ka Ooltah Chashmah| Full Episode 02,https://www.youtube.com/watch?v=CbWsenby9kw,Found
3,Tapu को ज़बरदस्ती दूकान ले जा रहे Jethalal! | Taarak Mehta Ka Ooltah Chashmah | Full Episode 03,https://www.youtube.com/watch?v=_yFFuUtd-uY,Found
4,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 04,https://www.youtube.com/watch?v=nbv_8luU-cQ,Found
5,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 05,https://www.youtube.com/watch?v=uQmp6Hz2ODs,Found
6,जब पहली बार Mumbai आए Champaklal | Episode 06 | Taarak Mehta Ka Ooltah Chashmah,https://www.youtube.com/watch?v=i15EtNrl8GE,Found
7,"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 07 | 17th April, 2021",https://www.youtube.com/watch?v=0iQf668Z_i8,Found
8,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 08,https://www.youtube.com/watch?v=yniJO81MlRI,Found
9,Bapuji ने कर दिया Bhide के सर पर कुल्ला | Episode 09 | Taarak Mehta Ka Ooltah Chashmah,https://www.youtube.com/watch?v=scof3chzddY,Found
10,Episode 10 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=bSZHuuA4t_0,Found
11,"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 11 | 19th April, 2021",https://www.youtube.com/watch?v=ufLkjBk3T2w,Found
12,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 12 - Full Episode,https://www.youtube.com/watch?v=5xK2LtmEz6w,Found
13,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 13,https://www.youtube.com/watch?v=iqiJ_4RpBq0,Found
14,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 14 - Full Episode,https://www.youtube.com/watch?v=rAmgg1kukKE,Found
15,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 15,https://www.youtube.com/watch?v=VH0FajIFONY,Found
16,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 16,https://www.youtube.com/watch?v=3h_2COJk6bw,Found
17,Episode 17 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=iaTxzU5R58E,Found
18,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 18,https://www.youtube.com/watch?v=Jlw_6NoBkq0,Found
19,Episode 19 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=kwiOs2FBSgA,Found
20,Episode 20 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,https://www.youtube.com/watch?v=6xGZX6yF4hA,Found
21,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 21,https://www.youtube.com/watch?v=U8HU0hIlPHs,Found
22,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 22,https://www.youtube.com/watch?v=kos2aqo6wac,Found
23,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 23 - Full Episode,https://www.youtube.com/watch?v=Av0hnLQf2ME,Found
24,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 24,https://www.youtube.com/watch?v=WeU4ZXrSLf4,Found
