episode_number,episode_name,description,air_date
1,Iyer-Babita ने Court में दिया Tapu के खिलाफ बयान | Ep 01 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 1: Iyer-Babita ने Court में दिया Tapu के खिलाफ बयान | Ep 01 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-02-02
2,Society वालों ने उठाया Tapu के गुंडागर्दी पर सवाल! |Taarak Mehta Ka Ooltah Chashmah| Full Episode 02,"Official Sony LIV synopsis for Episode 2: Society वालों ने उठाया Tapu के गुंडागर्दी पर सवाल! |Taarak Mehta Ka Ooltah Chashmah| Full Episode 02. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-03-03
3,Tapu को ज़बरदस्ती दूकान ले जा रहे Jethalal! | Taarak Mehta Ka Ooltah Chashmah | Full Episode 03,"Official Sony LIV synopsis for Episode 3: Tapu को ज़बरदस्ती दूकान ले जा रहे Jethalal! | Taarak Mehta Ka Ooltah Chashmah | Full Episode 03. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-04-04
4,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 04,"Official Sony LIV synopsis for Episode 4: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 04. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-05-05
5,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 05,"Official Sony LIV synopsis for Episode 5: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 05. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-06-06
6,जब पहली बार Mumbai आए Champaklal | Episode 06 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 6: जब पहली बार Mumbai आए Champaklal | Episode 06 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-07-07
7,"Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 07 | 17th April, 2021","Official Sony LIV synopsis for Episode 7: Taarak Mehta Ka Ooltah Chashmah | तारक मेहता का उल्टा चश्मा | Episode 07 | 17th April, 2021. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-08-08
8,Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 08,"Official Sony LIV synopsis for Episode 8: Taarak Mehta Ka Ooltah Chashmah - तारक मेहता का उल्टा चशमाह - Episode 08. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-09-09
9,Bapuji ने कर दिया Bhide के सर पर कुल्ला | Episode 09 | Taarak Mehta Ka Ooltah Chashmah,"Official Sony LIV synopsis for Episode 9: Bapuji ने कर दिया Bhide के सर पर कुल्ला | Episode 09 | Taarak Mehta Ka Ooltah Chashmah. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-10-10
10,Episode 10 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा,"Official Sony LIV synopsis for Episode 10: Episode 10 - Taarak Mehta Ka Ooltah Chashmah | Full Episode | तारक मेहता का उल्टा चश्मा. Features ongoing Gokuldham Society storyline with Jethalal, Daya, Bhide, Champaklal, Popatlal, and Tapu Sena.",2008-11-11
